game_id,date,start_time,away_team,away_team_short,home_team,home_team_short,away_score,home_score,venue,game_type,status,sportsbook,odds_type,opening_home_odds,opening_away_odds,current_home_odds,current_away_odds
831475,2026-03-01,2026-03-01T18:05:00+00:00,Miami Marlins,MIA,Washington Nationals,WAS,3,0,CACTI Park of the Palm Beaches,S,Final,bet365,moneyline,-115,-105,-130,110
831475,2026-03-01,2026-03-01T18:05:00+00:00,Miami Marlins,MIA,Washington Nationals,WAS,3,0,CACTI Park of the Palm Beaches,S,Final,betway,moneyline,-115,-105,-122,100
831475,2026-03-01,2026-03-01T18:05:00+00:00,Miami Marlins,MIA,Washington Nationals,WAS,3,0,CACTI Park of the Palm Beaches,S,Final,sportsinteraction,moneyline,-10000,-10000,-130,110
831477,2026-03-01,2026-03-01T18:05:00+00:00,Pittsburgh Pirates,PIT,St. Louis Cardinals,STL,6,1,Roger Dean Chevrolet Stadium,S,Final,bet365,moneyline,-150,125,-140,120
831477,2026-03-01,2026-03-01T18:05:00+00:00,Pittsburgh Pirates,PIT,St. Louis Cardinals,STL,6,1,Roger Dean Chevrolet Stadium,S,Final,betway,moneyline,-144,118,-144,118
831477,2026-03-01,2026-03-01T18:05:00+00:00,Pittsburgh Pirates,PIT,St. Louis Cardinals,STL,6,1,Roger Dean Chevrolet Stadium,S,Final,sportsinteraction,moneyline,-10000,-10000,-140,115
831578,2026-03-01,2026-03-01T18:05:00+00:00,New York Yankees,NYY,Philadelphia Phillies,PHI,5,3,BayCare Ballpark,S,Final,bet365,moneyline,-135,115,-125,105
831578,2026-03-01,2026-03-01T18:05:00+00:00,New York Yankees,NYY,Philadelphia Phillies,PHI,5,3,BayCare Ballpark,S,Final,betway,moneyline,-134,110,-128,104
831578,2026-03-01,2026-03-01T18:05:00+00:00,New York Yankees,NYY,Philadelphia Phillies,PHI,5,3,BayCare Ballpark,S,Final,sportsinteraction,moneyline,-10000,-10000,-130,110
831579,2026-03-01,2026-03-01T18:10:00+00:00,Houston Astros,HOU,New York Mets,NYM,3,4,Clover Park,S,Final,bet365,moneyline,-150,125,-130,110
831579,2026-03-01,2026-03-01T18:10:00+00:00,Houston Astros,HOU,New York Mets,NYM,3,4,Clover Park,S,Final,betway,moneyline,-152,124,-130,106
831579,2026-03-01,2026-03-01T18:10:00+00:00,Houston Astros,HOU,New York Mets,NYM,3,4,Clover Park,S,Final,sportsinteraction,moneyline,-10000,-10000,-130,110
831638,2026-03-01,2026-03-01T18:05:00+00:00,Baltimore Orioles,BAL,Boston Red Sox,BOS,8,7,JetBlue Park,S,Final,bet365,moneyline,-135,115,-150,125
831638,2026-03-01,2026-03-01T18:05:00+00:00,Baltimore Orioles,BAL,Boston Red Sox,BOS,8,7,JetBlue Park,S,Final,betway,moneyline,-144,118,-144,118
831638,2026-03-01,2026-03-01T18:05:00+00:00,Baltimore Orioles,BAL,Boston Red Sox,BOS,8,7,JetBlue Park,S,Final,sportsinteraction,moneyline,-10000,-10000,-140,115
831639,2026-03-01,2026-03-01T18:05:00+00:00,Toronto Blue Jays,TOR,Detroit Tigers,DET,4,4,Publix Field at Joker Marchant Stadium,S,Final,bet365,moneyline,-200,165,-240,195
831639,2026-03-01,2026-03-01T18:05:00+00:00,Toronto Blue Jays,TOR,Detroit Tigers,DET,4,4,Publix Field at Joker Marchant Stadium,S,Final,betway,moneyline,-215,172,-265,210
831639,2026-03-01,2026-03-01T18:05:00+00:00,Toronto Blue Jays,TOR,Detroit Tigers,DET,4,4,Publix Field at Joker Marchant Stadium,S,Final,sportsinteraction,moneyline,-10000,-10000,-250,200
831721,2026-03-01,2026-03-01T20:10:00+00:00,Texas Rangers,TEX,Seattle Mariners,SEA,9,4,Peoria Sports Complex,S,Final,bet365,moneyline,-135,115,-120,100
831721,2026-03-01,2026-03-01T20:10:00+00:00,Texas Rangers,TEX,Seattle Mariners,SEA,9,4,Peoria Sports Complex,S,Final,betway,moneyline,-144,118,-114,-106
831721,2026-03-01,2026-03-01T20:10:00+00:00,Texas Rangers,TEX,Seattle Mariners,SEA,9,4,Peoria Sports Complex,S,Final,sportsinteraction,moneyline,-10000,-10000,-120,100
831768,2026-03-01,2026-03-01T20:05:00+00:00,San Diego Padres,SD,San Francisco Giants,SF,1,9,Scottsdale Stadium,S,Final,bet365,moneyline,-120,100,-185,155
831768,2026-03-01,2026-03-01T20:05:00+00:00,San Diego Padres,SD,San Francisco Giants,SF,1,9,Scottsdale Stadium,S,Final,betway,moneyline,-122,100,-172,140
831768,2026-03-01,2026-03-01T20:05:00+00:00,San Diego Padres,SD,San Francisco Giants,SF,1,9,Scottsdale Stadium,S,Final,sportsinteraction,moneyline,-10000,-10000,-175,145
831794,2026-03-01,2026-03-01T20:05:00+00:00,Milwaukee Brewers,MIL,Kansas City Royals,KC,1,3,Surprise Stadium,S,Final,bet365,moneyline,-125,105,-150,125
